t,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z
0,NaN,NaN,NaN,1997.91638183594,1089.60888671875,23.4290580749512,2423.7001953125,1228.57727050781,171.599548339844,2209.24291992188,1256.13684082031,68.0181427001953
0.0166666666666667,NaN,NaN,NaN,1997.84985351562,1089.58508300781,23.2012252807617,2342.97729492188,1197.59765625,177.918426513672,2156.69702148438,1255.46496582031,64.2033386230469
0.0333333333333333,NaN,NaN,NaN,1997.82214355469,1089.52893066406,23.0175838470459,2276.6357421875,1179.79125976562,173.183822631836,2103.2919921875,1255.24523925781,60.2077140808105
0.05,NaN,NaN,NaN,1997.8525390625,1089.42041015625,22.9032955169678,2230.26513671875,1180.57763671875,152.764694213867,2048.54418945312,1255.693359375,56.0420722961426
0.0666666666666667,NaN,NaN,NaN,1997.92919921875,1089.25805664062,22.8565654754639,2182.18188476562,1181.45532226562,131.910125732422,1992.36865234375,1256.74060058594,51.9804153442383
0.0833333333333333,NaN,NaN,NaN,1998.01904296875,1089.07006835938,22.8525314331055,2131.57934570312,1182.66271972656,110.736602783203,1934.95886230469,1258.15466308594,48.4944114685059
0.1,NaN,NaN,NaN,1998.08972167969,1088.91381835938,22.8554611206055,2078.50805664062,1184.4716796875,89.9056167602539,1876.68432617188,1259.62768554688,46.1207504272461
0.116666666666667,NaN,NaN,NaN,1998.12109375,1088.83337402344,22.8350982666016,2023.36108398438,1186.88000488281,70.3861465454102,1817.99401855469,1260.76525878906,45.3544692993164
0.133333333333333,NaN,NaN,NaN,1998.0986328125,1088.81335449219,22.7801322937012,1966.74658203125,1189.57458496094,53.3044395446777,1759.40710449219,1261.11376953125,46.5934600830078
0.15,NaN,NaN,NaN,1998.01721191406,1088.79650878906,22.6995868682861,1909.70202636719,1192.19226074219,39.6797866821289,1701.59631347656,1260.28051757812,50.0446281433105
0.166666666666667,NaN,NaN,NaN,1997.90393066406,1088.74670410156,22.6122779846191,1853.72521972656,1194.41625976562,30.0748023986816,1645.49291992188,1258.05627441406,55.5610198974609
0.183333333333333,NaN,NaN,NaN,1997.80908203125,1088.67028808594,22.5368270874023,1800.57666015625,1195.94860839844,24.3993301391602,1592.39819335938,1254.50695800781,62.5575675964355
0.2,NaN,NaN,NaN,1997.75695800781,1088.57788085938,22.4912281036377,1752.13842773438,1196.56616210938,21.905216217041,1544.02160644531,1250.021484375,70.0931167602539
0.216666666666667,NaN,NaN,NaN,1997.72766113281,1088.45678710938,22.4944267272949,1710.25329589844,1196.11022949219,21.3769092559814,1502.25964355469,1245.25219726562,76.9755249023438
