t,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2447.36499023438,1181.54968261719,23.6924610137939
0.0166666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2447.36499023438,1181.54968261719,23.6924610137939
0.0333333333333333,NaN,NaN,NaN,2527.97973632812,1019.7197265625,52.4088363647461,NaN,NaN,NaN,2447.36499023438,1181.54968261719,23.6924610137939
0.05,NaN,NaN,NaN,2469.44384765625,1017.60412597656,47.1383590698242,NaN,NaN,NaN,2447.36499023438,1181.54968261719,23.6924610137939
0.0666666666666667,NaN,NaN,NaN,2408.30517578125,1013.79351806641,41.0927467346191,NaN,NaN,NaN,2446.640625,1181.1123046875,23.7684478759766
0.0833333333333333,NaN,NaN,NaN,2348.78076171875,1012.22113037109,38.3604698181152,NaN,NaN,NaN,2447.36499023438,1181.54968261719,23.6924610137939
0.1,NaN,NaN,NaN,2286.25952148438,1012.05224609375,36.7274703979492,NaN,NaN,NaN,2447.36499023438,1181.54968261719,23.6924610137939
0.116666666666667,NaN,NaN,NaN,2224.89379882812,1012.03228759766,35.0401153564453,NaN,NaN,NaN,2439.11865234375,1181.23364257812,25.1901683807373
0.133333333333333,NaN,NaN,NaN,2162.05151367188,1014.65417480469,37.6797981262207,NaN,NaN,NaN,2437.3125,1180.88366699219,25.5186538696289
0.15,NaN,NaN,NaN,2102.99462890625,1018.96014404297,40.7754096984863,NaN,NaN,NaN,2439.6787109375,1181.3720703125,24.788911819458
0.166666666666667,NaN,NaN,NaN,2049.92553710938,1023.19622802734,44.5547943115234,NaN,NaN,NaN,2445.23364257812,1181.02380371094,23.9316902160645
0.183333333333333,NaN,NaN,NaN,2003.28955078125,1027.43090820312,46.7915725708008,NaN,NaN,NaN,2444.59008789062,1180.63513183594,23.9897785186768
0.2,NaN,NaN,NaN,1964.84997558594,1032.07055664062,48.8235397338867,NaN,NaN,NaN,2445.23364257812,1181.02380371094,23.9316902160645
0.216666666666667,2147.00390625,1070.16662597656,20.4533424377441,1935.26452636719,1036.59313964844,53.4853591918945,2721.1318359375,1175.59045410156,27.038501739502,2447.1650390625,1182.19506835938,23.0898494720459
0.233333333333333,2128.16479492188,1073.03796386719,16.6652565002441,1917.52966308594,1040.73193359375,52.1188278198242,2719.91479492188,1175.72045898438,31.9689674377441,2447.1650390625,1182.19506835938,23.0898494720459
0.25,2120.16430664062,1075.49328613281,16.7174110412598,1907.59826660156,1042.41052246094,45.5746994018555,2717.86572265625,1177.41467285156,35.3834228515625,2446.00122070312,1182.83984375,22.6088123321533
0.266666666666667,2118.96459960938,1076.36633300781,17.8685665130615,1903.83801269531,1045.83544921875,31.7525615692139,2714.134765625,1178.8623046875,43.9056358337402,2445.18896484375,1182.89892578125,23.1123180389404
0.283333333333333,2115.92578125,1076.94104003906,19.9755783081055,1899.24658203125,1051.98449707031,29.9717712402344,2710.07983398438,1180.10266113281,53.4303550720215,2446.75048828125,1184.80749511719,21.2547550201416
0.3,2114.76489257812,1076.21936035156,20.0846138000488,1896.74768066406,1052.65881347656,27.1498546600342,2703.77685546875,1181.45812988281,63.1191101074219,2442.9052734375,1186.54565429688,22.1667804718018
0.316666666666667,2114.76489257812,1076.21936035156,20.0846138000488,1895.609375,1052.92114257812,26.7920513153076,2693.2197265625,1181.50451660156,76.6898651123047,2438.7138671875,1181.67932128906,24.5706348419189
0.333333333333333,2113.71166992188,1076.294921875,20.2216949462891,1893.01257324219,1052.44616699219,25.4054374694824,2681.04272460938,1182.14428710938,92.1430587768555,2435.61694335938,1180.33081054688,24.3405170440674
0.35,2114.50732421875,1076.93273925781,21.5790214538574,1892.56787109375,1052.79724121094,25.0727252960205,NaN,NaN,NaN,2435.5888671875,1177.90258789062,22.5981273651123
0.366666666666667,2114.27954101562,1076.90490722656,21.829870223999,1892.14929199219,1052.78210449219,24.9273853302002,NaN,NaN,NaN,2430.548828125,1178.34094238281,23.1405391693115
0.383333333333333,2113.91479492188,1076.07214355469,22.3218822479248,1892.09155273438,1053.24890136719,24.6980476379395,NaN,NaN,NaN,2423.33129882812,1176.84130859375,26.7706298828125
